Company Name,Ticker,Exchange,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry,Country
Rightmove Plc,RMV.L,London Stock Exchange,Communication Services,Media and Entertainment,Interactive Media & Services,Interactive Media & Services,UK
Rio Tinto PLC,RIO.L,London Stock Exchange,Materials,Materials,Metals and Mining,Diversified Metals and Mining,UK
Ritchie Bros Auctioneers Inc,RBA,"New York Stock Exchange, Inc.",Industrials,Commercial Services and Supplies,Commercial Services and Supplies,Diversified Support Services,US
Rite Aid Corp,RAD,"New York Stock Exchange, Inc.",Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Drug Retail,US
Rogers Communications-CL B,RCI,"New York Stock Exchange, Inc.",Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services,US
Rolls-Royce Holdings PLC,RR.L,London Stock Exchange,Industrials,Capital Goods,Aerospace and Defense,Aerospace and Defense,UK
Royal Bank of Canada,RY.TO,Toronto Stock Exchange,Financials,Banks,Commercial Banks,Diversified Banks,Canada
Royal Dutch Shell PLC,RDSA.L,London Stock Exchange,Energy,Energy,"Oil, Gas and Consumable Fuels",Integrated Oil and Gas,UK
Royal Gold Inc,RGLD,Nasdaq,Materials,Materials,Metals and Mining,Gold,US
Rumo SA,RAIL3.SA,B3 S.A.,Industrials,Transportation,Road and Rail,Railroads,Brazil
Sage Group (The) PLC,SGE.L,London Stock Exchange,Information Technology,Software and Services,Software,Application Software,UK
Sainsbury (J) PLC,SBRY.L,London Stock Exchange,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Retail,UK
Salesforce Inc,CRM,"New York Stock Exchange, Inc.",Information Technology,Software and Services,Software,Application Software,US
SAP SE,SAP,"New York Stock Exchange, Inc.",Information Technology,Software and Services,Software,Application Software,US
Schroders PLC,SDR.L,London Stock Exchange,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks,UK
SEI Investments Co,SEIC,Nasdaq,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks,US
Sempra Energy,SRE,"New York Stock Exchange, Inc.",Utilities,Utilities,Multi-Utilities,Multi-Utilities,US
Severn Trent PLC,SVT.L,London Stock Exchange,Utilities,Utilities,Water Utilities,Water Utilities,UK
Shanghai International Airport Co Ltd,600009.SS,Shanghai Stock Exchange,Industrials,Transportation,Transportation Infrastructure,Airport Services,China
Shenzhen Mindray Bio-Medical Electronics Co Ltd,300760.SZ,Shenzhen Stock Exchange,Health Care,Health Care Equipment and Services,Health Care Equipment and Supplies,Health Care Equipment,China
Shopify Inc,SHOP.TO,Toronto Stock Exchange,Information Technology,Software and Services,IT Services,Internet Services & Infrastructure,Canada
Sirius XM Holdings Inc,SIRI,Nasdaq,Communication Services,Media and Entertainment,Media,Cable & Satellite,US
SJVN Ltd,SJVN.BO,BSE LTD,Utilities,Utilities,Electric Utilities,Electric Utilities,India
SJW Group,SJW,"New York Stock Exchange, Inc.",Utilities,Utilities,Water Utilities,Water Utilities,US
SkyWest Inc,SKYW,Nasdaq,Industrials,Transportation,Airlines,Airlines,US
Smith & Nephew PLC,SN.L,London Stock Exchange,Health Care,Health Care Equipment and Services,Health Care Equipment and Supplies,Health Care Equipment,UK
Smith & Wesson Brands Inc,SWBI,Nasdaq,Consumer Discretionary,Consumer Durables and Apparel,Leisure Products,Leisure Products,US
